10000	==-	admin	北京	16609321656	10000.00	  admin	100	总经理
202106	89*	安琪拉	北京	16623421023	2000.00	  财务部	200	财务部经理
202108	89*	李信	陕西西安	13152179997	600.00	  财务部	300	职员
202107	89*	孙策	重庆	耳机       	200.00	  财务部	300	职员
202100	89:;,-	貂蝉	陕西汉中	和饥饿     	2000.00	  人事部	200	人事部经理
202101	89*	吕布	陕西西安	13454566453	100.00	  人事部	300	职员
202103	89*	张良	陕西安康	19591581356	2000.00	  市场部	200	市场部经理
202104	89*	董卓	陕西汉中	19523123245	100.00	  市场部	300	职员
202105	89*	曹操	河南洛阳	15023456556	100.00	  市场部	300	职员
202109	89*	蔡文姬	山西晋城	13152179689	3000.00	  销售部	300	职员
202111	89*	凯	河南洛阳	13201559998	1000.00	  销售部	200	销售部经理
202112	9798()	诸葛亮	河南南阳	为         	10000.00	  销售部	300	职员
202113	9798(*	司马懿	河南南阳	155755453232	0.00	  销售部	300	职员
